crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1205,12564,14111,23667,16380,16342,13332,28417,29517,10890,11037,6892,25726,23677,13434,33461,4748,29566,29016,24075,11038,32969,27372,1247,52843,14535,19781,19530,16684,24823,11588,7242
1206,4658,15317,37149,25696,21179,13133,35652,26973,29570,46458,594,7437,28919,6488,19580,16879,19773,25368,26469,9289,17875,30065,15780,22972,21819,13685,18279,12483,35265,32769,21479
1216,62637,23296,61587,31550,39986,52082,24876,43049,19977,58337,31620,44457,33860,63291,71153,27261,71217,46767,32762,66821,20569,56638,30910,80058,47697,76018,23279,74522,54431,32363,30558
1218,11311,15636,23937,16460,18739,7486,27959,10987,21568,19173,14381,14066,26460,16472,20474,20871,16675,25568,6990,9283,18222,17815,23762,16477,20867,13632,19920,12686,12778,17973,5437
1219,16741,9583,6500,11321,9824,6392,13279,9584,5988,16177,7782,8779,10582,10178,10778,15473,16372,5489,4788,3790,8788,4691,9384,5385,13876,12974,4790,6784,10580,6487,3092
1220,12737,-804,3072,7860,3955,10337,14779,23373,4494,13134,8491,5845,14483,28770,103,11287,12489,-800,17883,13685,12388,10888,4396,9192,14883,3196,20183,15586,12087,20378,1497
1222,39338,23757,49243,27559,49538,49987,34404,35454,55727,32759,53871,26963,63233,25466,21932,23309,24574,40350,30464,55730,27560,14582,39250,23813,27259,28662,20570,48642,42004,43041,32866
1223,48804,60014,66289,35328,36044,52197,33171,44721,57936,74791,27795,95301,27392,42157,55976,32713,32476,38206,50054,42824,48943,11584,80516,87312,14533,55146,61341,65127,32367,64633,25472
1234,34916,44341,34968,24056,25841,60871,15784,31748,34961,9486,33258,25519,28461,19073,30243,27812,33257,20252,22113,36319,27486,44003,43159,50925,18080,42178,26550,33116,34956,38508,49204
1239,43220,28139,59622,39280,20862,66573,20494,84064,76335,46353,61105,196130,12331,23072,81321,127991,25640,18231,61534,78421,63850,59784,41755,2994,16978,39628,72337,68339,40759,46916,57150
1241,2412,24065,11186,14582,16469,20178,4620,31467,16178,17180,12685,18378,19983,16380,24370,20371,9384,23669,19479,31069,12378,32364,20234,26962,10637,17873,10783,23570,24576,28069,32962
1242,13236,9128,15552,12957,10882,23162,16481,6485,7888,4988,10485,12380,20171,12285,10085,20168,9477,11279,4092,19173,1594,13475,13875,794,21160,14279,12786,14731,5295,4152,10277
1249,15617,13829,20852,16554,12613,60439,38313,34261,67186,44709,43406,43091,19279,33218,70828,43805,35595,43858,66273,45354,43755,55348,48654,60849,52651,45589,32365,51156,55451,41966,48362
1250,26624,32995,73031,43715,55795,46400,20368,36756,25659,48532,20566,47539,39147,40639,61113,43286,66767,29052,34047,43036,31863,60024,24952,44618,33756,32158,29960,59522,68112,56822,38345
1253,26968,29769,35540,13504,37566,31415,45493,48584,23168,38350,25358,27061,38901,36948,17074,23664,41753,22824,26769,68971,18576,36054,38054,13183,30211,27257,25214,25067,39048,55033,23671
1257,30204,16275,16628,23980,24400,24243,25774,11583,27477,17982,25676,7041,16583,18763,30842,25875,31174,29571,19081,25326,31919,18780,14285,24775,10167,31368,20056,34797,23679,31786,25079
1260,12802,4139,8517,6878,6093,20675,19373,12885,21571,37457,30812,39654,28767,25168,65980,19874,34958,31666,25272,41951,18277,17378,18679,39651,14382,34860,26570,29864,20975,33564,8089
1268,15571,7501,26408,29307,25418,13824,19875,31463,15581,19832,22567,7493,16182,18180,27370,12685,34961,8186,34568,15482,22373,24627,29273,673,20872,17077,19276,31419,1089,20877,16781
1274,4167,4625,16523,2295,-4266,29378,13889,13790,19083,9790,24475,11289,14186,17782,2796,11287,8992,22782,26677,16284,1695,24378,17085,12883,10790,2499,2499,10091,6491,14586,-3097
1276,31270,29099,30755,38165,35593,39976,18368,44545,25719,53747,36710,38758,37558,40847,39452,31460,54944,43752,22775,40054,35110,60040,57097,38456,53847,57636,47952,42558,50247,73882,29719
