headend_no,household_no,a,b,c,d,e,denominator
100264,128781,0,0,0,0,0,1
100264,12883,0,0,0,0,0,1
100264,129016,0,0,0,0,0,1
100264,12923,0,0,0,0,0,1
100264,129322,0,0,0,0,0,1
100264,129393,1,0,0,1,1,1
100264,129482,0,0,0,0,0,1
100264,129526,0,0,0,0,0,1
100264,129599,0,0,0,0,0,1
100264,12963,0,0,0,0,0,1
100264,129638,0,0,0,0,0,1
100264,129789,0,0,0,0,0,1
100264,129835,0,0,0,0,0,1
100264,129837,0,0,0,0,0,1
100264,129918,0,0,0,0,0,1
100264,130004,0,0,0,0,0,1
100264,13017,0,0,0,0,0,1
100264,130224,0,0,0,0,0,1
100264,1303,0,0,0,1,0,1
100264,130340,0,0,0,1,1,1
100264,130392,0,0,0,0,0,1
100264,130412,1,1,0,1,0,1
100264,13052,0,0,0,0,0,1
100264,130677,0,0,0,0,0,1
100264,130704,0,0,0,0,0,1
100264,130717,0,0,0,0,0,1
100264,130757,0,0,0,0,0,1
100264,130758,0,0,0,0,0,1
100264,130832,0,0,0,0,0,1
100264,13084,0,0,0,0,0,1
100264,130950,0,0,0,0,0,1
100264,130997,0,0,0,0,0,1
100264,131053,0,0,0,0,0,1
100264,131099,0,0,0,0,0,1
100264,13112,0,0,0,0,0,1
100264,131205,0,0,0,0,0,1
100264,131260,0,0,0,0,0,1
100264,131451,0,0,0,0,0,1
100264,13149,0,0,0,0,0,1
100264,131540,0,0,0,0,0,1
100264,131570,0,0,0,0,0,1
100264,131574,0,0,0,1,0,1
100264,131597,0,0,0,0,0,1
100264,13177,0,0,0,0,0,1
100264,131838,0,0,0,0,0,1
100264,131853,0,0,0,1,0,1
100264,131868,0,0,0,0,0,1
100264,131909,0,0,0,0,0,1
100264,132057,0,0,0,0,0,1
100264,132080,0,0,0,0,0,1
100264,13214,0,0,0,0,0,1
100264,132270,0,0,0,0,0,1
100264,132327,0,0,0,0,0,1
100264,132399,0,0,0,0,0,1
100264,13250,0,0,0,0,0,1
100264,132607,0,0,0,0,0,1
100264,132630,0,0,0,0,0,1
100264,132690,0,0,0,0,0,1
100264,132763,0,0,0,0,0,1
100264,132783,0,0,0,0,0,1
100264,132850,0,0,0,0,0,1
100264,132898,0,0,0,0,0,1
100264,132948,0,0,0,0,0,1
100264,13305,1,1,1,1,1,1
100264,133136,0,0,0,0,0,1
100264,1332,0,0,0,0,0,1
100264,133226,0,0,0,1,0,1
100264,133302,0,0,0,0,0,1
100264,133325,0,0,0,0,0,1
100264,13337,0,0,0,0,0,1
100264,133389,0,0,0,0,0,1
100264,133424,0,0,0,0,0,1
100264,133444,0,0,0,0,0,1
100264,133464,0,0,0,0,0,1
100264,133696,0,0,0,0,0,1
100264,133810,0,0,0,0,0,1
100264,13394,0,0,0,0,0,1
100264,133985,0,0,0,0,0,1
100264,13400,0,0,0,0,0,1
100264,134038,0,0,0,0,0,1
100264,134061,0,0,0,0,0,1
100264,134071,0,0,0,0,0,1
100264,134205,0,0,0,0,0,1
100264,134326,0,0,0,0,0,1
100264,13441,0,0,0,0,0,1
100264,134455,0,0,0,1,0,1
100264,134532,0,0,0,0,0,1
100264,1346,0,0,0,0,0,1
100264,134608,0,0,0,0,0,1
100264,134731,0,0,0,0,0,1
100264,134796,0,0,0,0,0,1
100264,134823,0,0,0,0,0,1
100264,13500,0,0,0,0,0,1
100264,135058,0,0,0,0,0,1
100264,135188,0,0,0,0,0,1
100264,135372,0,0,0,1,0,1
100264,13538,0,0,0,0,0,1
100264,135413,0,0,0,0,0,1
100264,135422,0,0,0,0,0,1
100264,135528,0,0,0,0,0,1
100264,135588,0,0,0,0,0,1
100264,135709,0,0,0,0,0,1
100264,135710,0,0,0,0,0,1
100264,135818,0,0,0,0,0,1
100264,135868,0,0,0,0,0,1
100264,13590,0,0,0,0,0,1
100264,135939,0,0,0,0,0,1
100264,136058,0,0,0,0,0,1
100264,136061,0,0,0,0,0,1
100264,136097,0,0,0,0,0,1
100264,136103,0,0,0,0,0,1
100264,136108,0,0,0,0,0,1
100264,1363,0,0,0,0,0,1
100264,13641,0,0,0,0,0,1
100264,13645,0,0,0,0,0,1
100264,136494,0,0,0,0,0,1
100264,136495,0,0,0,0,0,1
100264,13665,0,0,0,0,0,1
100264,136695,0,0,0,0,0,1
100264,136821,0,0,0,0,0,1
100264,136825,0,0,0,0,0,1
100264,136843,0,0,0,0,0,1
100264,136860,0,0,0,0,0,1
100264,136907,0,0,0,0,0,1
100264,13706,0,0,0,0,0,1
100264,137060,0,0,0,0,0,1
100264,137150,0,0,0,0,0,0
100264,137174,0,0,0,0,0,1
100264,137201,0,0,0,0,0,1
100264,137246,0,0,0,0,0,1
100264,137365,0,0,0,0,0,1
100264,137375,0,0,0,0,0,1
100264,137381,0,0,0,0,0,1
100264,137396,0,0,0,0,0,1
100264,1374,0,0,0,0,0,1
100264,137402,0,0,0,0,0,1
100264,137444,0,0,0,0,0,1
100264,137602,0,0,0,1,0,1
100264,13762,0,0,0,1,1,1
100264,137639,0,0,0,0,0,1
100264,137680,0,0,0,0,0,1
100264,137694,0,0,0,0,0,1
100264,137739,1,1,0,1,0,1
100264,137755,0,0,0,0,0,1
100264,137771,0,0,0,0,0,1
100264,137778,0,0,0,0,0,1
100264,137784,0,0,0,0,0,1
100264,137863,0,0,0,0,0,1
100264,137906,0,0,0,0,0,1
100264,137972,0,0,0,0,0,1
100264,13807,0,0,0,0,0,1
100264,138103,0,0,0,0,0,1
100264,138193,0,0,0,0,0,1
100264,13820,0,0,0,0,0,1
100264,138258,0,0,0,0,0,1
100264,138263,0,0,0,1,0,1
100264,138375,0,0,0,0,0,1
100264,138418,0,0,0,0,0,1
100264,13852,0,0,0,0,0,1
100264,138521,0,0,0,0,0,1
100264,138570,0,0,0,0,0,1
100264,138573,0,0,0,0,0,1
100264,138643,0,0,0,0,0,1
100264,138704,0,0,0,0,0,1
100264,138773,0,0,0,0,0,1
100264,138807,0,0,0,0,0,1
100264,138811,0,0,0,0,0,1
100264,13886,0,0,0,0,0,1
100264,138892,0,0,0,0,0,1
100264,138909,0,0,0,0,0,1
100264,138990,0,0,0,0,0,1
100264,139056,0,0,0,0,0,1
100264,139074,0,0,0,0,0,1
100264,139102,0,0,0,0,0,1
100264,13917,0,0,0,0,0,1
100264,139227,0,0,0,1,0,1
100264,139311,0,0,0,0,0,1
100264,139358,0,0,0,0,0,1
100264,139391,0,0,0,0,0,1
100264,139407,0,0,0,0,0,1
100264,139459,0,0,0,0,0,1
100264,139530,0,0,0,0,0,1
100264,139533,0,0,0,0,0,1
100264,139578,0,0,0,1,0,1
100264,13958,0,0,0,0,0,1
100264,13960,0,0,0,0,0,1
100264,139605,0,0,0,0,0,1
100264,139628,0,0,0,0,0,1
100264,139644,0,0,0,0,0,1
100264,139648,0,0,0,0,0,1
100264,139654,0,0,0,0,0,1
100264,13971,0,0,0,0,0,1
100264,139877,0,0,0,0,0,1
100264,139932,0,0,0,0,0,1
100264,139937,0,0,0,0,0,1
100264,140021,0,0,0,0,0,1
100264,140067,0,0,0,0,0,1
100264,140069,0,0,0,0,0,1
100264,140074,0,0,0,0,0,1
100264,140122,0,0,0,1,0,1
100264,140223,0,0,0,0,0,1
100264,140297,0,0,1,1,1,1
100264,140318,0,0,0,0,0,1
100264,140327,0,0,0,0,0,1
100264,140508,0,0,0,0,0,1
100264,140608,0,0,0,0,0,1
100264,140620,0,0,0,0,0,1
100264,140623,0,0,0,0,0,1
100264,140638,0,0,0,0,0,1
100264,140646,0,0,0,0,0,1
100264,140691,0,0,0,0,0,1
100264,140702,0,0,0,0,0,1
100264,14081,0,0,0,0,0,1
100264,140838,0,0,0,0,0,1
100264,140883,0,0,0,0,0,1
100264,140919,0,0,0,0,0,1
100264,140924,0,0,0,0,0,1
100264,140946,0,0,0,0,0,1
100264,141048,0,0,0,0,0,1
100264,141145,0,0,0,0,0,1
100264,141183,0,0,0,0,0,1
100264,141345,0,0,0,0,0,1
100264,14135,0,0,0,0,0,1
100264,141350,0,0,0,0,0,1
100264,141478,0,0,0,0,0,1
100264,141544,0,0,0,0,0,1
100264,14158,0,0,0,0,0,1
100264,141762,0,0,0,0,0,1
100264,141766,0,0,0,0,0,1
100264,141896,0,0,0,0,0,1
100264,141948,0,0,0,0,0,1
100264,141991,0,0,0,0,0,1
100264,142033,0,0,0,0,0,1
100264,142071,0,0,0,0,0,1
100264,142074,0,0,0,0,0,1
100264,142092,0,0,0,0,0,1
100264,142111,0,0,0,0,0,1
100264,142149,0,0,0,0,0,1
100264,142154,0,0,0,0,0,1
100264,142261,0,0,0,0,0,1
100264,14228,0,0,0,0,0,1
100264,142426,1,1,1,1,1,1
100264,142433,0,0,0,0,0,1
100264,14250,0,0,0,0,0,1
100264,14251,0,0,0,0,0,1
100264,142666,0,0,0,0,0,1
100264,142681,0,0,0,0,0,1
100264,142685,0,0,0,0,0,1
100264,142697,0,0,0,0,0,1
100264,142868,0,0,0,0,0,1
100264,142908,0,0,0,0,0,1
100264,14291,0,0,0,0,0,1
100264,142914,0,0,0,0,0,1
100264,142973,0,0,0,0,0,1
100264,142982,0,0,0,0,0,1
100264,142989,0,0,0,0,0,1
100264,142991,0,0,0,0,0,1
100264,142994,0,0,0,0,0,1
100264,14300,0,0,0,0,0,1
100264,143020,0,0,0,0,0,1
100264,143024,0,0,0,0,0,1
100264,143050,0,0,0,1,0,1
100264,14307,0,0,0,0,0,1
100264,143241,0,0,0,0,0,1
100264,143257,0,0,0,0,0,1
100264,143306,0,0,0,0,0,1
100264,143311,0,0,0,1,0,1
100264,14332,0,0,0,0,0,1
100264,143350,0,0,0,0,0,1
100264,143373,0,0,0,0,0,1
100264,143391,0,0,0,0,0,1
100264,143499,0,0,0,0,0,1
100264,143533,0,0,0,0,0,1
100264,143558,0,0,0,0,0,1
100264,143584,0,0,0,0,0,1
100264,143597,0,0,0,0,0,1
100264,143608,0,0,0,0,0,1
